,Word,Reading,Meaning
9529,鈍感,どんかん,"thickheadedness, stolidity, insensitivity"
9530,鈍,どん,"dull, slow, stupid, dull-brained"
9531,鈍る,"にぶる, なまる","to become less capable, to grow dull, to become blunt, to weaken"
9532,鈍らす,にぶらす,"to blunt, to dull, to weaken"
9533,鈍器,どんき,blunt weapon
9534,鈍,なまくら,"blunt, dull"
9535,鈍い,おそい,"slow; late (e.g. ""late at night""); too late; dull, stupid"
9536,鈍ちん,"にぶちん, にぶチン",dullard (gen. from not picking up on other people's feelings)
9537,恥,はじ,"shame, embarrassment"
9538,恥ずかしい,はずかしい,"shy, ashamed, embarrassed"
9539,恥じらう,はじらう,"to feel shy, to be bashful, to blush"
9540,恥じる,はじる,to feel ashamed
9541,恥じらい,はじらい,shyness
9542,恥らう,はじらう,"to feel shy, to be bashful, to blush"
9543,恥ずかしがる,はずかしがる,"to be shy of, to be bashful, to be abashed, to blush"
9544,羞恥,しゅうち,"shyness, bashfulness"
9545,恥さらし,はじさらし,disgrace
9546,恥らい,はじらい,shyness
9547,泥,どろ,mud
9548,泥沼,どろぬま,"bog, marsh"
9550,汚泥,おでい,dirty mud
9551,泥仕合,どろじあい,"mudslinging, smear campaign"
9552,泥水,"でいすい, どろみず",muddy water; red-light district
9553,泥酔,でいすい,dead drunk
9554,雲泥の差,うんでいのさ,"wide difference, a world of difference"
9555,泥炭,でいたん,peat
9556,こそ泥,こそどろ,sneak-thief
9557,隅,"すみ, すま","corner, nook, recess"
9559,隅々,すみずみ,every nook and corner
9560,一隅,"いちぐう, ひとすみ","corner, nook"
9561,四隅,よすみ,four corners
9562,南隅,なんぐう,southern corner
9563,僻隅,へきぐう,"corner, nook"
9564,片隅に,かたすみに,in a corner
9565,隅隅,すみずみ,every nook and corner
9566,隅に置けない,すみにおけない,"witty and knowing, not to be underestimated, smooth operator"
9567,配偶者,はいぐうしゃ,"spouse, wife, husband"
9569,偶発,ぐうはつ,"sudden outbreak, accidental, incidental"
9570,偶数,ぐうすう,even number
9571,土偶,どぐう,earthen (clay) figure
9572,偶像,ぐうぞう,"image, idol, statue"
9573,偶,たまたま,"casually, unexpectedly, accidentally, by chance"
9574,偶,たま,"occasional, rare"
9575,偶さか,たまさか,occasionally
9576,偶に,たまに,"occasionally, once in a while"
9577,辛うじて,かろうじて,"barely, narrowly, just manage to do something"
9578,辛口,からくち,"dry taste (e.g. sake, wine); salty (taste); harsh, scathing"
9579,辛い,からい,"spicy, hot; salty; tough (on someone), adverse, harsh"
9581,辛,"かのと, しん","8th in rank, eighth sign of the Chinese calendar"
9582,辛酸,しんさん,"hardships, privation"
9585,塩辛,しおから,salted fish (entrails)
9586,辛苦,しんく,"hardship, toil, trouble"
9587,磨き,みがき,"polish, improvement, burnishing"
9588,琢磨,たくま,"polish (jewels), cultivation"
9590,切磋琢磨,せっさたくま,"cultivate one's character by studying hard, diligent application"
9591,研磨,けんま,"grinding, polishing, studying"
9592,達磨,だるま,"daruma (tumbling doll), Bodhidharma; prostitute"
9593,百戦錬磨,ひゃくせんれんま,"veteran, (someone) schooled by adversity in many battles, (someone) rich in life's experience gained through much adversity"
9594,磨く,みがく,"to polish, to shine, to brush (e.g. teeth); to refine, to improve"
9595,磨りガラス,すりガラス,ground glass
9596,磨る,する,"to rub, to chafe, to strike (match), to file, to frost (glass); to lose (e.g. a match), to forfeit, to squander one's money (e.g. through gambling, Pachinko, etc.)"
9597,姓,"せい, しょう, そう","surname, family name; hereditary title (used in ancient Japan to denote rank and political standing)"
9599,同姓,どうせい,same surname
9600,百姓,ひゃくしょう,"farmer, peasant, country bumpkin; farming; the common people"
9601,姓名,せいめい,full name
9602,姓,かばね,hereditary title (used in ancient Japan to denote rank and political standing); clan
9603,異姓,いせい,"different surname, different family name"
9604,下姓,げしょう,person of humble birth
9605,改姓,かいせい,changing one's family name
9606,姓氏,せいし,"full name, family name"
9607,筒,つつ,"pipe, tube, cylinder; gun barrel; gun"
9609,筒井,つつい,round well
9611,気筒,きとう,cylinder
9612,井筒,いづつ,well crib
9613,水筒,すいとう,"canteen, flask, water bottle"
9614,発煙筒,はつえんとう,smoke candle
9615,筒抜け,つつぬけ,passing or going directly through (to)
9616,ロケット発射筒,ロケットはっしゃとう,rocket launcher
9617,粒,つぶ,"grain, bead"
9618,粒子,りゅうし,"particle, grain"
9619,素粒子,そりゅうし,"elementary particle, particle (physics)"
9620,微粒子,びりゅうし,"corpuscle, minute particle"
9621,小粒,こつぶ,"small grain, small stature or ability"
9622,米粒,こめつぶ,grain of rice
9623,粒状,りゅうじょう,"granular, granulated"
9624,一粒,ひとつぶ,(a) grain
9625,一粒子既約,いちりゅうしきやく,one particle irreducible (physics)
9626,一粒種,ひとつぶだね,an only child
9627,偉大,いだい,greatness
9628,偉業,いぎょう,"great enterprise, exploits"
9629,偉,い,greatness
9630,偉い,えらい,"great, excellent, admirable, remarkable, distinguished, important, celebrated, famous, eminent; awful, terrible"
9631,偉人,いじん,great man
9632,偉,えら,"tremendous, huge"
9633,偉いですね,えらいですね,"good!, great!"
9634,偉がる,えらがる,"to be conceited, to think highly of oneself"
9635,ど偉い,どえらい,"immense, awesome, enormous, terrific"
9636,偉そう,えらそう,"self-important, important-looking, proud"
9637,畳,たたみ,tatami mat (Japanese straw floor coverings)
9638,四畳半,よじょうはん,4.5 tatami mats
9639,石畳,いしだたみ,stone paving
9640,畳,じょう,counter for tatami mats; measure of room size (in mat units)
9641,畳,たとう,"folding paper-case, kimono wrapping paper"
9642,畳みかける,たたみかける,"to press for an answer, to shower questions on someone"
9643,畳む,たたむ,to fold (clothes); to close (a shop); to vacate
9644,畳まる,たたまる,to be folded (up)
9645,畳敷き,たたみじき,tatami-matted
9646,一畳,いちじょう,one mat
9649,皮膚病,ひふびょう,skin disease
9650,膚,"はだ, はだえ","skin; body (in the context of intimate bodily contact); surface, grain (e.g. of wood), texture; disposition, temperament, character, type"
9651,学者膚,がくしゃはだ,scholarly bent of mind
9652,完膚なきまで,かんぷなきまで,"completely, thoroughly, horribly, without exception, until there's no untouched (undamaged) part"
9653,完膚無きまで,かんぷなきまで,"completely, thoroughly, horribly, without exception, until there's no untouched (undamaged) part"
9654,完膚無き迄,かんぷなきまで,"completely, thoroughly, horribly, without exception, until there's no untouched (undamaged) part"
9655,山膚,やまはだ,"mountain's surface, bare surface of a mountain"
9656,皮膚移植,ひふいしょく,"skin graft, skin transplant"
9659,濯ぐ,"すすぐ, ゆすぐ, そそぐ","to rinse, to wash out; to have one's revenge, to wipe out a disgrace"
9660,乾燥洗濯,かんそうせんたく,dry cleaning
9661,洗濯挟み,せんたくばさみ,"clothes-pin, clothespin, clothes peg"
9662,洗濯ばさみ,せんたくばさみ,"clothes-pin, clothespin, clothes peg"
9663,洗濯糊,せんたくのり,laundry starch
9664,洗濯のり,せんたくのり,laundry starch
9665,洗濯物,せんたくもの,"clothes to be washed, the washing"
9666,電気洗濯機,でんきせんたくき,electric washing machine
9667,猫,ねこ,cat; submissive partner of a homosexual relationship
9668,子猫,こねこ,kitten
9669,野良猫,のらねこ,"stray cat, alley cat"
9670,黒猫,くろねこ,black cat
9671,飼い猫,かいねこ,pet cat
9672,猫かぶり,ねこかぶり,"feigned innocence or naivete, beguiling innocence, wolf in sheep's clothing"
9673,猫ばば,ねこばば,"embezzlement, misappropriation, pocketing, stealing"
9674,アンゴラ猫,アンゴラねこ,Angora cat
9675,シャム猫,シャムねこ,Siamese cat
9676,ペルシア猫,"ペルシアねこ, ペルシャねこ",Persian cat
9677,塔,とう,"tower, pagoda"
9678,管制塔,かんせいとう,control tower
9679,鉄塔,てっとう,"pylon, steel tower"
9680,仏塔,ぶっとう,pagoda
9681,金字塔,きんじとう,"pyramid, monumental work"
9682,テレビ塔,テレビとう,TV tower
9683,バベルの塔,バベルのとう,Tower of Babel
9684,エッフェル塔,エッフェルとう,Eiffel Tower
9685,アリの塔,"ありのとう, アリのとう",anthill
9686,ハノイの塔,ハノイのとう,tower of Hanoi
9687,沸かす,わかす,"to boil, to heat; to excite; to melt (metal)"
9688,沸騰,ふっとう,"boiling, seething"
9689,沸き起こる,わきおこる,"to well up, to burst, to arise"
9691,沸き返る,わきかえる,"to boil up, to break out, to arise, to seethe; to get excited, to be in uproar"
9692,沸く,わく,"to grow hot (of water, etc.), to boil; to be in a state of excitement, to get excited, to take place energetically"
9693,煮沸,しゃふつ,boiling up
9694,沸き出す,わきだす,to gush out
9695,沸き上がる,わきあがる,"to boil up, to come to the boil, to seethe; to arise, to break out; to get excited, to be in uproar"
9696,沸き立つ,わきたつ,"to boil up, to ferment, to seethe"
9697,菓子,かし,"pastry, confectionery"
9698,和菓子,わがし,Japanese confectionery
9699,駄菓子,だがし,cheap sweets
9700,洋菓子,ようがし,Western confectionery
9701,製菓,せいか,confectionery
9702,菓子屋,かしや,confectionery shop
9703,菓,か,fruit; counter for fruit
9704,菓子パン,かしパン,sweetened bun
9705,お菓子,おかし,"confections, sweets, candy"
9706,御菓子,おかし,"confections, sweets, candy"
9707,幾つ,いくつ,how many?; how old?
9708,幾何学,きかがく,geometry
9709,幾分,いくぶん,"somewhat, to some extent, to some degree; some, part, portion"
9710,幾重,いくえ,"multi-plied, repeated"
9711,幾多,いくた,"many, numerous"
9712,幾ら,いくら,"how much?, how many?"
9713,幾,いく,"some, several; many; how many?, how much?"
9714,幾,ほとほと,"quite (usu. negative connotation), utterly, really"
9715,幾何,きか,geometry
9716,幾つも,いくつも,"many, great number of"
9717,帽子,ぼうし,"hat, cap"
9718,烏帽子,えぼし,"black-lacquered headgear (made of silk, cloth or paper) originally worn by court nobles in ancient Japan, and afterwards spreading to the common people"
9719,脱帽,だつぼう,removing one's hat
9720,ソフト帽,ソフトぼう,felt hat
9721,トルコ帽,トルコぼう,fez
9722,パナマ帽,パナマぼう,panama hat
9723,ベレー帽,ベレーぼう,beret
9724,かんかん帽,かんかんぼう,boater (flat straw hat)
9725,ハンチング帽,ハンチングぼう,hunting cap
9726,ニット帽,ニットぼう,"knitted hat, woollen hat"
9727,枯れる,かれる,"to wither (plant), to be blasted, to die"
9728,枯れ葉,かれは,"dead leaf, dry leaves"
9729,枯渇,こかつ,"drying up, becoming exhausted, running dry, starvation"
9730,枯死,こし,"withering, dying"
9731,立ち枯れ,たちがれ,"blighted, withered"
9732,木枯らし,こがらし,cold wintry wind
9733,枯れ木,かれき,"dead tree, dry wood"
9734,枯れ草,"かれくさ, こそう","dry grass, dead grass, hay, withered grass"
9735,栄枯,えいこ,"vicissitudes, ups and downs"
9736,枯らす,からす,"to let dry, to kill (vegetation) to season (lumber)"
9738,涼しい,すずしい,"cool (of weather), refreshing"
9740,涼風,"りょうふう, すずかぜ","cool breeze, refreshing breeze"
9741,納涼,のうりょう,(enjoying the) cool of the evening
9742,涼む,すずむ,"to cool oneself, to cool off, to enjoy evening cool"
9743,涼をとる,りょうをとる,to cool off (literary)
9744,涼み,すずみ,"cooling oneself, enjoying the cool air"
9745,涼やか,すずやか,"refreshing, clear"
9746,荒涼,こうりょう,"desolate, dreary, bleak"
9747,小舟,こぶね,"boat, small craft"
9748,呉越同舟,ごえつどうしゅう,bitter enemies (placed by fate) in the same boat
9749,助け舟,たすけぶね,timely help
9750,舟橋,ふなはし,pontoon
9751,舟,ふね,"ship, boat, watercraft, vessel, steamship; tank, tub, vat, trough; counter for boat-shaped containers (e.g. of sashimi)"
9752,舟艇,しゅうてい,"boat, watercraft"
9753,イカの舟,"イカのふね, いかのふね",cuttlebone
9754,舟をこぐ,ふねをこぐ,"to row a boat; to nod off, to doze off"
9755,橋脚舟,きょうきゃくしゅう,pontoon
9756,笹舟,ささぶね,toy bamboo-leaf boat
9757,終止符,しゅうしふ,"full stop, period; end"
9759,切符,きっぷ,ticket
9761,疑問符,ぎもんふ,question mark
9762,符合,ふごう,"agreeing, coincidence"
9763,符号,ふごう,"sign, mark, symbol, code"
9764,音符,おんぷ,"musical note, note symbol; phonetic symbol (inc. the kanji and kana-doubling symbols, vowel-lengthening symbol, etc.); part of a kanji for which the role is primarily to represent the pronunciation (as opposed to the meaning)"
9765,引用符,いんようふ,"quotation marks, quote marks"
9766,感嘆符,かんたんふ,"exclamation point, exclamation mark"
9767,憎しみ,にくしみ,hatred
9768,憎悪,ぞうお,hatred
9769,愛憎,あいぞう,"love and hate, likes and dislikes"
9770,憎い,にくい,"hateful, abominable, poor-looking, detestable; (with irony) lovely, lovable, wonderful, etc."
9771,憎む,にくむ,"to hate, to detest"
9772,心憎い,こころにくい,"refined, admirable, superb"
9773,憎らしい,にくらしい,"odious, hateful"
9774,憎さ,にくさ,"hatefulness, hatred"
9775,憎たらしい,"にくたらしい, にくったらしい","odious, hateful; (speaking ironically) darling"
9776,お生憎さま,おあいにくさま,"that's too bad (ironical), unfortunate person (often a gleeful ""too bad for you!"")"
9777,肯定,こうてい,"positive, affirmation"
9778,肯く,うなずく,"to nod, to bow one's head in assent"
9779,肯定応答,こうていおうとう,"acknowledge, ACK"
9780,肯定的,こうていてき,affirmative
9781,首肯,しゅこう,"assent, consent"
9782,首肯く,うなずく,"to nod, to bow one's head in assent"
9783,肯定文,こうていぶん,affirmative sentence
9784,肯綮,こうけい,the essential point
9787,焦燥,しょうそう,"impatience, uneasiness, irritation"
9788,燥ぐ,はしゃぐ,"to make merry, to frolic, to be in high spirits"
9789,乾燥果,かんそうか,dry fruit (i.e. nuts); dried fruit
9790,乾燥器,かんそうき,"drying machine, dryer, desiccator"
9791,乾燥牛乳,かんそうぎゅうにゅう,powdered milk
9792,乾燥剤,かんそうざい,drying agent
9793,乾燥材,かんそうざい,seasoned lumber
9794,乾燥室,かんそうしつ,drying room
9795,家畜,かちく,"domestic animals, livestock, cattle"
9796,畜産,ちくさん,animal husbandry
9797,牧畜,ぼくちく,stock-farming
9798,人畜,じんちく,men and animals
9799,鬼畜,きちく,brute
9800,畜殺,ちくさつ,slaughtering (animals)
9801,畜殺場,ちくさつば,abattoir
9802,畜舎,ちくしゃ,"cattle shed, barn"
9803,畜生,"ちくしょう, ちきしょう","beast (i.e. any animal other than man); person reborn into the animal realm; brute (i.e. a contemptible human being); son of a bitch, for Christ's sake, damn it"
9804,畜生め,ちくしょうめ,son-of-a-bitch
9807,坊さん,ぼうさん,"Buddhist priest, monk"
9808,坊や,ぼうや,boy
9809,坊主,ぼうず,"Buddhist priest, bonze; close cropped hair, crew cut, person with a shorn head; boy (used both endearingly and disparagingly)"
9810,坊っちゃん,ぼっちゃん,son (of others); young master; green young man from a well-to-do family
9811,暴れん坊,あばれんぼう,"hooligan, rowdy, roughneck, a rough"
9813,坊,ぼう,"bonze, monk; monk's dwelling; (vocative) boy, sonny; I (used by male children), me; (after name) familiar form of address; person who is .."
9814,お坊っちゃん,おぼっちゃん,son (of others); young master; green young man from a well-to-do family
9815,挟む,はさむ,"to interpose, to hold between, to insert"
9816,挟み撃ち,はさみうち,"pincer attack, attack on both sides (flanks)"
9817,挟まる,はさまる,"to get between, to be caught in"
9818,挟殺,きょうさつ,(baseball) rundown
9819,挟む,さしはさむ,"to insert; to interrupt, to slip in a word; to harbor (e.g. doubts), to harbour, to entertain (e.g. a theory)"
9820,挟み打ち,はさみうち,"pincer attack, attack on both sides (flanks)"
9821,挟み込む,はさみこむ,to insert
9822,挟み上げる,はさみあげる,"to pick up (with chopsticks), to take"
9823,挟撃,きょうげき,"pincer movement, pincer attack"
9824,小耳に挟む,こみみにはさむ,"to happen to hear, to overhear"
9825,曇り,くもり,"cloudiness, cloudy weather, shadow"
9826,曇り空,くもりぞら,cloudy sky (weather)
9827,曇る,くもる,"to become cloudy, to become dim"
9828,薄曇り,うすぐもり,slightly cloudy
9829,曇,くもり,"cloudiness, cloudy weather, shadow"
9830,曇りがち,くもりがち,"broken cloud, mainly cloudy"
9831,曇りガラス,くもりガラス,frosted glass
9832,曇らす,くもらす,"to encloud, to make dim or dull, to frown"
9833,曇る,くぐもる,"to mumble, to mutter"
9834,曇らせる,くもらせる,"to cloud, to make dim or dull, to frown"
9835,点滴,てんてき,"raindrops, falling drop of water; intravenous drip"
9836,一滴,"ひとしずく, いってき",drop (of fluid)
9837,水滴,すいてき,drop of water
9838,滴,しずく,"drop (of water), drip"
9839,滴り,したたり,"dripping, a drop"
9840,滴る,したたる,"to drip, to drop, to trickle"
9841,雨滴,うてき,raindrops
9842,滴下,てきか,"drip, drop, distill"
9843,滴定量,てきていりょう,"titer, titre"
9844,点滴器,てんてきき,dropper
9845,伺う,うかがう,"to visit, to ask, to inquire, to hear, to be told; to implore (a god for an oracle), to seek direction (from your superior); to visit; to speak to (a large crowd at a theatre, etc.)"
9846,伺い,うかがい,"inquiry, enquiry, question, call, consulting the oracle, visit"
9847,進退伺い,しんたいうかがい,informal (unofficial) resignation
9848,伺い済み,うかがいずみ,instructions received
9849,伺い事,うかがいごと,"inquiry, enquiry"
9850,伺い探る,うかがいさぐる,to spy out
9851,伺候,しこう,waiting upon (someone)
9852,暑中伺い,しょちゅううかがい,mid-summer menu
9853,奉伺,ほうし,inquiring about (one's health)
9854,伺いを立てる,うかがいをたてる,"to ask for someone's opinion, to inquire of, to invoke an oracle"
9857,第三者,だいさんしゃ,"third person, outsider, disinterested person"
9858,第一人者,だいいちにんしゃ,leading person
9859,第二次世界大戦,だいにじせかいたいせん,World War II
9860,第一線,だいいっせん,"the front (of a battlefield), forefront"
9862,第三国,だいさんごく,a third country
9863,次第,しだい,"dependent upon; as soon as, immediately (upon); circumstances; order, precedence, program, programme, agenda"
9864,第一義,だいいちぎ,"first principle, original or greatest import"
9865,氏,うじ,"family name, lineage, birth"
9867,同氏,どうし,"the said person, he, she, same person"
9869,源氏,げんじ,Genji (the character in the Genji Monogatari); the Minamoto family
9870,氏族,しぞく,"clan, family"
9871,氏子,うじこ,shrine parishioner
9873,氏,し,"Mr; clan; he, him; Mr; counter for people"
9874,氏神,うじがみ,"Shinto god, patron god"
9879,子宮,しきゅう,"womb, uterus"
9880,宮中,きゅうちゅう,imperial court
9881,東宮,とうぐう,crown prince
9882,王宮,おうきゅう,royal palace
9883,宮廷,きゅうてい,"imperial court, royal court"
9884,二宮,にぐう,the Two Ise Shrines
9889,結ぶ,むすぶ,"to tie, to bind, to link; to bear (fruit)"
9893,結び,むすび,"ending, conclusion, union"
9894,締結,ていけつ,"conclusion, execution (of a contract), entering (into treaty)"
9896,提案,ていあん,"proposal, proposition, suggestion"
9897,廃案,はいあん,rejected bill (project)
9898,懸案,けんあん,"pending question, pending problem"
9900,案内,あんない,"information, guidance, leading; to guide, to show (around), to conduct"
9904,立案,りつあん,"draft, draught, (rough) design"
9907,整った,ととのった,"well-ordered, in good order, well-featured, well-regulated"
9908,整理,せいり,"sorting, arrangement, organization, putting in order, adjustment, regulation, liquidation"
9909,整合,せいごう,"adjustment, coordination, integration, conformity"
9910,不整脈,ふせいみゃく,"irregular pulse, arrhythmia"
9911,整形外科,せいけいげか,"orthopaedic surgery, plastic surgery"
9912,整う,ととのう,"to be prepared, to be in order, to be put in order, to be arranged"
9913,整形,せいけい,"orthopedics, plastic surgery, cosmetic surgery; smoothing (bursty traffic, etc.)"
9914,整然,せいぜん,"orderly, regular, systematic, well-organized, well-organised, trim, tidy, accurate"
9915,挙げる,あげる,"to raise, to elevate; to do up (one's hair); to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.); to land (a boat); to deep-fry; to show someone (into a room); (uk) to summon (for geishas, etc.); to send someone (away); to enrol (one's child in school) (enroll); to increase (price, quality, status, etc.); to make (a loud sound), to raise (one's voice); to earn (something desirable); to praise; to give (an example, etc.), to cite; to summon up (all of one's energy, etc.); to arrest; to nominate; to give; to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.); to bear (a child); to conduct (a ceremony, esp. a wedding); (of the tide) to come in; to vomit; (after the -te form of a verb) to do for (the sake of someone else); (after the -masu stem of a verb) to complete; used after the -masu stem of a humble verb to increase the level of humility"
9919,一挙,いっきょ,"one effort, one action"
9920,選挙戦,せんきょせん,election campaign
9921,挙がる,あがる,"to rise, to go up, to come up, to ascend, to be raised; to enter (esp. from outdoors), to come in, to go in; to enter (a school), to advance to the next grade; to get out (of water), to come ashore; to increase; to improve, to make progress; to be promoted, to advance; to be made (of profit, etc.); to occur (esp. of a favourable result); to be adequate (to cover expenses, etc.); to be finished, to be done, to be over; (of rain) to stop, to lift; to stop (working properly), to cut out, to give out, to die; to win (in a card game, etc.); to be arrested; to turn up (of evidence, etc.); to be deep fried; to be spoken loudly; to get stage fright; to be offered (to the gods, etc.); to go, to visit; to eat, to drink; to be listed (as a candidate); to serve (in one's master's home); (in Kyoto) to go north; (after the -masu stem of a verb) indicates completion"
9922,選挙運動,せんきょうんどう,participation in election campaign
9924,選挙権,せんきょけん,suffrage
9932,統制,とうせい,"regulation, control"
9933,系統,けいとう,"system, family line, geological formation, lineage, ancestry"
9934,総統,そうとう,"supreme ruler, generalissimo; president (of Taiwan); fuhrer, fuehrer"
9935,保する,"ほする, ほうする",to guarantee
9937,保護,ほご,"care, protection, shelter, safeguard, guardianship, favor, favour, patronage"
9942,保全,ほぜん,"preservation, integrity, conservation, maintenance"
9943,保証,ほしょう,"guarantee, security, assurance, pledge, warranty"
9948,基礎,きそ,"foundation, basis"
9950,基盤,きばん,"foundation, basis, base, footing"
9953,基幹,きかん,"mainstay, nucleus, key"
9954,基軸,きじく,"key, yardstick, criterion, standard"
9956,昭和時代,しょうわじだい,Showa period (1926-1989 CE)
9957,昭和年間,しょうわねんかん,Showa era
9958,昭栄,しょうえい,"Shoei (motorcycle helmet manufacturing company), Shouei"
9959,昭昭,しょうしょう,"clear, bright, plain, obvious"
9960,昭々,しょうしょう,"clear, bright, plain, obvious"
9961,昭然,しょうぜん,"manifest, clear, evident, obvious"
9962,昭代,しょうだい,"glorious reign, enlightened era"
9963,昭和一桁,しょうわひとけた,(member of the generation born in) the first nine years of the Showa period (from 1926 to 1934)
9964,昭和元禄,しょうわげんろく,"the flourishing mid-Showa period (1960s and early 1970s) of peace, rapid economic growth, and life of ease"
9965,松,まつ,pine tree; highest (of a three-tier ranking system)
9967,松原,まつばら,pine grove
9969,松屋,まつや,Matsuya (department store)
9971,松下電工,まつしたでんこう,Matsushita Electric Works
9972,松林,まつばやし,pine forest
9973,松明,"たいまつ, しょうめい, きょ","(pine) torch, flambeau, torchlight"
9974,松風,"しょうふう, まつかぜ",(sound of) the wind through pine trees
9976,株価,かぶか,stock prices
9977,評価,ひょうか,"valuation, estimation, assessment, evaluation; to value, to assess, to estimate value; to appreciate, to value highly, to acknowledge the value (of something)"
9979,地価,ちか,the price of land
9984,時価,じか,"current value, price, market value"
9988,提出,ていしゅつ,"to present, to submit (e.g. a report or a thesis), to hand in, to file, to turn in; presentation, submission, filing"
9990,提携,ていけい,"cooperation, tie-up, joint business, link-up"
9991,提訴,ていそ,"presenting a case, suing"
9995,票,ひょう,"label, ballot, ticket, sign"
9998,開票,かいひょう,counting ballots
10000,一票,いっぴょう,"ballot, vote"
10001,投票所,"とうひょうしょ, とうひょうじょ",polling place
10002,決選投票,けっせんとうひょう,"final (decisive) vote, run-off ballot"
10003,無投票,むとうひょう,without a vote
10005,応じる,おうじる,"to respond, to satisfy, to accept, to comply with, to apply for"
10007,応える,こたえる,"to respond, to live up to, to reward; to take its toll, to strike home"
10008,応援,おうえん,"aid, assistance, help, reinforcement, rooting, barracking, support, cheering"
10011,一応,いちおう,"once, tentatively, in outline, for the time being, just in case"
10012,応用,おうよう,"application, put to practical use"
10017,検討,けんとう,"consideration, examination, investigation, study, scrutiny, discussion"
10019,検事,けんじ,public prosecutor
10020,検定,けんてい,"official certification, approval, inspection"
10021,点検,てんけん,"inspection, examination, checking"
10022,検証,けんしょう,"verification, inspection"
10023,検診,けんしん,medical examination
10024,検問,けんもん,"inspection, examination"
10025,器,うつわ,"bowl, vessel, container; ability, capacity, calibre, caliber"
10035,弁護士,べんごし,"lawyer, attorney"
10036,同士,どうし,"fellow, mutual, companion, comrade, bonding"
10038,博士,"はかせ, はくし","doctorate, PhD, Dr (as a title); expert, learned person"
10039,力士,りきし,"sumo wrestler, rikishi; strong man"
10042,紳士,しんし,gentleman
10049,証拠,しょうこ,"evidence, proof"
10050,証明,しょうめい,"proof, verification"
10052,証書,しょうしょ,"bond, deed, certificate"
10054,証,あかし,"proof, evidence, testimony; to testify (usu. Christian religious context)"
10055,級,きゅう,"class, grade, rank, school class, grade"
10056,高級,こうきゅう,"high class, high grade"
10058,同級生,どうきゅうせい,classmate(s)
10059,学級,がっきゅう,(school) class
10060,上級,じょうきゅう,"advanced level, high grade, senior"
10061,一級,いっきゅう,"one grade, first-class, primary"
10062,同級,どうきゅう,"the same grade, same class"
10063,下級,かきゅう,"lower grade, low class, junior (officer)"
10064,中級,ちゅうきゅう,intermediate level
10065,健康,けんこう,"health, sound, wholesome"
10066,保健,ほけん,"health preservation, hygiene, sanitation"
10067,健全,けんぜん,"health, soundness, wholesome"
10068,穏健,おんけん,"quiet, dependable, uniform, (politically) moderate"
10070,健闘,けんとう,"fighting bravely, strenuous efforts; good luck!, good fight"
10071,保健所,"ほけんしょ, ほけんじょ","health care center, health care centre"
10073,健在,けんざい,"in good health, well, going strong"
10074,健康食品,けんこうしょくひん,health foods
10079,看護,かんご,"nursing, (army) nurse"
10080,弁護,べんご,"defense, defence, pleading, advocacy"
10081,護憲,ごけん,protecting the constitution
10083,援護,えんご,"covering, protection, backing, relief"
10084,擁護,ようご,"protection, advocacy, support, defence, championship, vindication; to protect (e.g. rights, etc.), to advocate (e.g. free trade, etc.), to support"
10086,事態,じたい,"situation, (present) state of affairs, circumstances"
10087,実態,じったい,"true state, actual condition, reality"
10089,態,ざま,"mess, sorry state, plight, sad sight; way, manner"
10093,生態系,せいたいけい,ecosystem
10094,生態,せいたい,"mode of life, ecology; (animal) territory"
10097,条項,じょうこう,"clause, article, stipulations"
10100,無条件,むじょうけん,unconditional
10102,条文,じょうぶん,"text, provisions (act, treaty)"
10103,信条,しんじょう,"creed, belief, article of faith"
10104,一条,いちじょう,"streak, matter, quotation"
10105,幹,"みき, かん","(tree) trunk, (arrow) shaft, (tool) handle, backbone, base"
10110,幹線,かんせん,"main line, trunk line"
10111,主幹,しゅかん,"chief editor, managing editor; manager, person in charge"
10113,幹,から,"trunk, stem, stalk; shaft (of an arrow); handle"
10114,幹事会,かんじかい,board of governors
10115,独自,どくじ,"original, peculiar, characteristic, proprietary"
10119,独立国,どくりつこく,independent state or nation
10120,東独,とうどく,East Germany
10121,独裁,どくさい,"dictatorship, despotism"
10127,隊員,たいいん,group members
10129,艦隊,かんたい,"(naval) fleet, armada"
10130,隊長,たいちょう,commanding officer
10132,大隊,だいたい,battalion
10133,海上自衛隊,かいじょうじえいたい,Maritime Self Defense Forces (Defence)
10138,視聴率,しちょうりつ,ratings (of a television program) (programme)
10141,打率,だりつ,batting average
10144,利率,りりつ,interest rate
10145,派遣,はけん,"dispatch, despatch, send"
10146,派閥,はばつ,"clique, faction"
10147,立派,りっぱ,"splendid, fine, handsome, elegant, imposing, prominent, legal, legitimate"
10150,特派員,とくはいん,correspondent
10152,党派,とうは,faction
10153,派手,はで,"showy, loud, gay, flashy, gaudy"
10159,衛生,えいせい,"health, hygiene, sanitation, medical"
10160,自衛,じえい,"self-defense, self-defence"
10161,自衛官,じえいかん,(Japanese) Self Defense Force member (Defence)
10166,緊張,きんちょう,"tension, mental strain, nervousness"
10167,張り,ばり,"in the style of (esp. literary, artistic, etc. works), reminiscent of; attached or stretched on"
10168,頑張って,がんばって,"Hold on, Go for it, Keep at it"
10169,出張,しゅっちょう,"official tour, business trip"
